SiteID,Name,Short Name,Latitude,Longitude,Geographic Coordinate System,Easting,Northing,Zone,Start date,Cease date,Active,Elevation (m),Basin,Site types,Catchment Management Authority,Gauge Zero (mAHD),Drainage Area (sq.km),Gauge Count,Last Gauge Date,First Gauge Date,Maximum Gauge (m),Maximum Gauge Date,Gauge Datum,Control,Cease to flow (m),Datum,Spillway (mAHD)
 "408203","AVOCA RIVER @ QUAMBATOOK","AVOCA @ QUAMBATOOK"," 35�54'22.2""S","143�30'43.9""E","World Geodetic System 1984","726708.999","6023529.000","54","1963/08/29","","true","93.498","Avoca","SW,WQ","North Central CMA","91.408","4740.00000","278","2024/01/04","1968/05/24","3.019","2011/01/18","Universal Transverse Mercator","ART. SHEET PILING AND CONCRETE WEIR","0.000","Australian Height Datum","0.000"
 "408206","AVOCA RIVER @ ARCHDALE JUNCTION","AVOCA @ ARCHDALE"," 36�53'05.1""S","143�30'11.1""E","World Geodetic System 1984","723071.997","5914974.000","54","1960/05/25","","true","198.111","Avoca","RF,SW","North Central CMA","194.985","681.00000","146","2025/07/29","1987/03/25","5.010","1987/06/22","Universal Transverse Mercator","ARTIFICIAL SHEET PILING WITH CONCRETE","0.176","Australian Height Datum","0.000"
 "408209","AVOCA RIVER @ SANDHILL LAKE ROAD","AVOCA @SANDHILL L RD"," 35�44'02.3""S","143�41'04.6""E","World Geodetic System 1984","742797.002","6042220.000","54","1973/08/08","","true","77.908","Avoca","SW,WQ","North Central CMA","0.000","0.00000","40","2023/09/21","1988/09/19","78.675","1988/09/19","Universal Transverse Mercator","Artificial: Drop bar structure","0.000","Unknown","0.000"
 "408213","AVOCA RIVER @ OUTFALL TRESCO PUMPHOUSE","AVOCA R O/F TRESCO"," 35�28'20.7""S","143�40'50.2""E","World Geodetic System 1984","743224.997","6071248.000","54","1998/02/06","","true","69.743","Avoca","SW","North Central CMA","0.000","0.00000","15","2022/12/22","2011/01/23","1.012","2011/02/03","Universal Transverse Mercator","Natural: Stream bed and banks","0.000","Unknown","0.000"
 "409202","MURRAY RIVER @ TOCUMWAL","MURRAY @ TOCUMWAL"," 35�48'48.7""S","145�33'24.1""E","World Geodetic System 1984","369606.999","6035760.000","55","1908/01/01","","true","108.682","Broken","SW,WQ","","103.830","29008.00000","875","2026/04/08","1908/04/30","7.526","1975/10/30","Universal Transverse Mercator","NATURAL - SAND and CLAY","0.000","Australian Height Datum","0.000"
 "409204","MURRAY RIVER @ SWAN HILL","MURRAY @ SWAN HILL"," 35�19'39.5""S","143�33'51.0""E","World Geodetic System 1984","733075.997","6087592.000","54","1887/11/01","","true","60.993","Avoca","SW,WQ","","62.878","0.00000","757","2026/03/12","1909/02/25","4.768","1975/11/13","Universal Transverse Mercator","NATURAL SAND AND CLAY","0.000","Australian Height Datum","0.000"
 "409207","MURRAY RIVER @ TORRUMBARRY","TORRUMBARRY"," 35�56'33.3""S","144�27'52.8""E","World Geodetic System 1984","271306.002","6019436.000","55","1893/06/01","","true","85.423","Loddon","SW,WQ","North Central CMA","78.545","0.00000","719","2026/04/09","1924/03/13","7.859","1975/11/05","(unknown)","NATURAL SAND","0.000","Australian Height Datum","0.000"
 "409214","MURRAY RIVER @ PENTAL ISLAND PUMPS","MURRAY @ PENTAL IS."," 35�25'24.8""S","143�45'53.2""E","World Geodetic System 1984","751017.562","6076458.065","54","1968/10/01","","true","66.983","Loddon","SW","","69.909","0.00000","101","2022/11/09","1969/02/05","71.690","1993/10/05","Universal Transverse Mercator","Natural; River bed and banks","0.000","Australian Height Datum","0.000"
 "409215","MURRAY RIVER @ BARMAH","MURRAY @ BARMAH"," 36�01'03.4""S","144�57'39.7""E","World Geodetic System 1984","316260.998","6012162.000","55","1922/07/01","","true","95.355","Goulburn","SW,WQ","Goulburn Broken CMA","89.302","0.00000","749","2026/04/01","1969/12/04","7.210","1993/10/13","Universal Transverse Mercator","NATURAL CLAY AND SILT","0.000","Australian Height Datum","0.000"
 "409224","EDWARD RIVER @ TAYLORS BRIDGE","EDWARD R @ TAYLOR BR"," 35�44'11.9""S","144�56'39.6""E","Geodetic Datum of Australia 1994","314100.670","6043313.752","55","1996/08/02","","true","97.000","Broken","SW","","0.000","0.00000","48","2017/08/22","1997/04/15","92.474","1998/10/21","Unknown","Natural: River bed and banks","0.000","Australian Height Datum","0.000"
 "409225","TOWRONG CREEK @ TOCUMWAL ROAD","TOWRONG C TOC'WAL RD"," 35�47'28.8""S","145�05'28.3""E","Australian Geodetic Datum 1966","327500.002","6037500.000","55","1996/08/01","","true","97.542","Broken","SW","","0.000","0.00000","19","2017/08/24","1996/08/01","97.205","2000/11/09","Unknown","Natural; Stream bed and banks","0.000","Australian Height Datum","0.000"
