Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature,Latitude,Longitude,Easting,Northing
RODGER @ JACKSONS,222217,3,59.88,3.2,21.8," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,4,200.47,2.7,14.9," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,5,119.32,2.6,10.1," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
RODGER @ JACKSONS,222217,6,383.5,35,9.4," 37°24'36.6""S","148°21'35.5""E",620346.002,5858744.000
SNOWY @ BASIN CRK,222219,8,2280.96,5.3,8.6," 37°29'56.7""S","148°16'25.0""E",612579.998,5848984.000
SNOWY @ BASIN CRK,222219,11,1385.11,1.9,21.9," 37°29'56.7""S","148°16'25.0""E",612579.998,5848984.000
SNOWY @ BASIN CRK,222219,2,829.24,21.7,21.9," 37°29'56.7""S","148°16'25.0""E",612579.998,5848984.000
SNOWY @ BASIN CRK,222219,5,1520.66,3.5,11.7," 37°29'56.7""S","148°16'25.0""E",612579.998,5848984.000
TAMBO @ SWIFTS CREEK,223202,7,184.16,1.8,6.8," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,8,183.85,4,5.6," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,9,151.78,3.4,12.4," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,10,104.83,3.1,14.3," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,11,61.79,1.9,19.6," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,12,60.1,4.4,19.9," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,1,34.4,3.8,22.4," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,2,21.73,411,20.7," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
TAMBO @ SWIFTS CREEK,223202,3,24.05,1.6,24.8," 37°16'07.6""S","147°43'43.7""E",564619.147,5875046.965
