Date,Reservoir,Value,System
29/2/2016,Wilsons,0,Ballarat
31/3/2016,Wilsons,0,Ballarat
30/4/2016,Wilsons,0,Ballarat
31/5/2016,Wilsons,0,Ballarat
30/6/2016,Wilsons,16,Ballarat
31/7/2016,Wilsons,374,Ballarat
31/8/2016,Wilsons,695,Ballarat
30/9/2016,Wilsons,1103,Ballarat
31/10/2016,Wilsons,1054,Ballarat
30/11/2016,Wilsons,1039,Ballarat
31/12/2016,Wilsons,622,Ballarat
31/1/2017,Wilsons,74,Ballarat
28/2/2017,Wilsons,17,Ballarat
31/3/2017,Wilsons,15,Ballarat
30/4/2017,Wilsons,44,Ballarat
31/5/2017,Wilsons,65,Ballarat
30/6/2017,Wilsons,42,Ballarat
31/7/2017,Wilsons,146,Ballarat
31/8/2017,Wilsons,87,Ballarat
30/9/2017,Wilsons,92,Ballarat
31/10/2017,Wilsons,229,Ballarat
30/11/2017,Wilsons,213,Ballarat
31/12/2017,Wilsons,226,Ballarat
31/1/2018,Wilsons,5,Ballarat
28/2/2018,Wilsons,5,Ballarat
31/3/2018,Wilsons,1,Ballarat
30/4/2018,Wilsons,1,Ballarat
31/5/2018,Wilsons,5,Ballarat
30/6/2018,Wilsons,30,Ballarat
31/7/2018,Wilsons,102,Ballarat
31/8/2018,Wilsons,262,Ballarat
30/9/2018,Wilsons,25,Ballarat
31/10/2018,Wilsons,68,Ballarat
30/11/2018,Wilsons,88,Ballarat
31/12/2018,Wilsons,115,Ballarat
31/1/2019,Wilsons,98.62791017,Ballarat
28/2/2019,Wilsons,81.8460031,Ballarat
31/3/2019,Wilsons,63.82719184,Ballarat
30/4/2019,Wilsons,58,Ballarat
31/5/2019,Wilsons,100,Ballarat
30/6/2019,Wilsons,292,Ballarat
31/7/2019,Wilsons,601,Ballarat
31/8/2019,Wilsons,964,Ballarat
30/9/2019,Wilsons,1050.525986,Ballarat
31/10/2019,Wilsons,1043,Ballarat
30/11/2019,Wilsons,606,Ballarat
31/12/2019,Wilsons,92,Ballarat
31/1/2020,Wilsons,90,Ballarat
29/2/2020,Wilsons,88,Ballarat
31/3/2020,Wilsons,81,Ballarat
30/4/2020,Wilsons,102,Ballarat
31/5/2020,Wilsons,162,Ballarat
30/6/2020,Wilsons,139,Ballarat
31/7/2020,Wilsons,103,Ballarat
31/8/2020,Wilsons,358,Ballarat
30/9/2020,Wilsons,140.9340652,Ballarat
31/10/2020,Wilsons,173.5332369,Ballarat
30/11/2020,Wilsons,90,Ballarat
31/12/2020,Wilsons,83.5306824,Ballarat
31/1/2021,Wilsons,1,Ballarat
28/2/2021,Wilsons,1,Ballarat
31/3/2021,Wilsons,8,Ballarat
30/4/2021,Wilsons,15.87965741,Ballarat
31/5/2021,Wilsons,50.13877969,Ballarat
30/6/2021,Wilsons,178.6935336,Ballarat
31/7/2021,Wilsons,449.9062249,Ballarat
31/8/2021,Wilsons,848.5250853,Ballarat
30/9/2021,Wilsons,1051,Ballarat
31/10/2021,Wilsons,1046.819052,Ballarat
30/11/2021,Wilsons,1039.429176,Ballarat
31/12/2021,Wilsons,445,Ballarat
31/1/2022,Wilsons,706.5392264,Ballarat
28/2/2022,Wilsons,22,Ballarat
31/3/2022,Wilsons,45,Ballarat
30/4/2022,Wilsons,72.13604316,Ballarat
31/5/2022,Wilsons,85,Ballarat
30/6/2022,Wilsons,94.94952144,Ballarat
31/7/2022,Wilsons,90.46109286,Ballarat
31/8/2022,Wilsons,493.4165595,Ballarat
30/9/2022,Wilsons,929,Ballarat
31/10/2022,Wilsons,1073,Ballarat
30/11/2022,Wilsons,1058,Ballarat
31/12/2022,Wilsons,1043,Ballarat
31/1/2023,Wilsons,273,Ballarat
28/2/2023,Wilsons,60,Ballarat
31/3/2023,Wilsons,82,Ballarat
30/4/2023,Wilsons,141,Ballarat
31/5/2023,Wilsons,96,Ballarat
30/6/2023,Wilsons,91,Ballarat
31/7/2023,Wilsons,89,Ballarat
31/8/2023,Wilsons,86,Ballarat
30/9/2023,Wilsons,85.23447336,Ballarat
31/10/2023,Wilsons,85.23447336,Ballarat
30/11/2023,Wilsons,82,Ballarat
31/12/2023,Wilsons,81,Ballarat
31/1/2024,Wilsons,90,Ballarat
29/2/2024,Wilsons,84,Ballarat
31/3/2024,Wilsons,79,Ballarat
30/4/2024,Wilsons,87,Ballarat
31/5/2024,Wilsons,95,Ballarat
30/6/2024,Wilsons,111.1265625,Ballarat
31/7/2024,Wilsons,111,Ballarat
31/8/2024,Wilsons,43,Ballarat
30/9/2024,Wilsons,80,Ballarat
31/10/2024,Wilsons,87.82612031,Ballarat
30/11/2024,Wilsons,80,Ballarat
31/12/2024,Wilsons,68,Ballarat
31/1/2025,Wilsons,56,Ballarat
28/2/2025,Wilsons,45,Ballarat
31/3/2025,Wilsons,37,Ballarat
30/4/2025,Wilsons,39,Ballarat
31/5/2025,Wilsons,27,Ballarat
30/6/2025,Wilsons,36,Ballarat
31/7/2025,Wilsons,59,Ballarat
31/8/2025,Wilsons,136,Ballarat
30/9/2025,Wilsons,219,Ballarat
31/1/2010,Gong Gong,261,Ballarat
28/2/2010,Gong Gong,255,Ballarat
31/3/2010,Gong Gong,258,Ballarat
30/4/2010,Gong Gong,258.014456,Ballarat
31/5/2010,Gong Gong,191,Ballarat
30/6/2010,Gong Gong,115,Ballarat
31/7/2010,Gong Gong,67,Ballarat
31/8/2010,Gong Gong,642,Ballarat
30/9/2010,Gong Gong,896,Ballarat
31/10/2010,Gong Gong,802,Ballarat
30/11/2010,Gong Gong,906,Ballarat
31/12/2010,Gong Gong,255,Ballarat
31/1/2011,Gong Gong,69,Ballarat
28/2/2011,Gong Gong,527,Ballarat
31/3/2011,Gong Gong,522,Ballarat
30/4/2011,Gong Gong,536,Ballarat
31/5/2011,Gong Gong,133,Ballarat
30/6/2011,Gong Gong,56,Ballarat
31/7/2011,Gong Gong,38,Ballarat
31/8/2011,Gong Gong,14,Ballarat
30/9/2011,Gong Gong,19,Ballarat
31/10/2011,Gong Gong,62,Ballarat
30/11/2011,Gong Gong,66,Ballarat
31/12/2011,Gong Gong,20.83025906,Ballarat
31/1/2012,Gong Gong,0,Ballarat
29/2/2012,Gong Gong,0,Ballarat
31/3/2012,Gong Gong,1,Ballarat
30/4/2012,Gong Gong,12,Ballarat
31/5/2012,Gong Gong,305,Ballarat
30/6/2012,Gong Gong,954,Ballarat
31/7/2012,Gong Gong,1883,Ballarat
31/8/2012,Gong Gong,1907,Ballarat
30/9/2012,Gong Gong,1902,Ballarat
31/10/2012,Gong Gong,1894,Ballarat
30/11/2012,Gong Gong,1891,Ballarat
31/12/2012,Gong Gong,1885,Ballarat
31/1/2013,Gong Gong,1824,Ballarat
28/2/2013,Gong Gong,1793,Ballarat
31/3/2013,Gong Gong,1774,Ballarat
30/4/2013,Gong Gong,1759,Ballarat
31/5/2013,Gong Gong,1761,Ballarat
30/6/2013,Gong Gong,1767,Ballarat
31/7/2013,Gong Gong,1756,Ballarat
31/8/2013,Gong Gong,1530,Ballarat
30/9/2013,Gong Gong,1537,Ballarat
31/10/2013,Gong Gong,1545,Ballarat
30/11/2013,Gong Gong,1332,Ballarat
31/12/2013,Gong Gong,1006,Ballarat
31/1/2014,Gong Gong,929,Ballarat
28/2/2014,Gong Gong,876,Ballarat
31/3/2014,Gong Gong,848,Ballarat
